chromosome start end start_coord end_coord change
1 752 975 28592200 39788865 0.177724485479243
1 2133 2342 116429049 150629612 -0.134340152435965
1 2342 2675 150600851 158149810 0.0871465472691914
1 3744 3963 225447233 236921278 0.0840238135416166
10 537 636 44937508 50660472 -0.181991427184006
10 884 1032 73674285 84140582 -0.121677448050961
10 1265 1396 97614553 103450852 0.167259489771048
10 1513 1599 116670034 123058290 0.128566024437304
11 1276 1456 61792911 65466720 0.19532334747668
11 1456 1621 65455258 69013382 0.267319019086549
12 230 386 8455962 12984645 -0.206110914324615
12 819 947 48653211 52279156 0.110718712675769
12 1134 1248 55954105 58920504 0.222061329516478
12 1810 1952 106678583 114105931 0.196236164145498
12 1952 2066 114104542 121016502 0.134658962915742
12 2066 2180 121000486 126772519 0.227712624679572
13 869 944 110053285 114333948 0.134791396676803
14 460 547 31334312 37579125 0.110811041905794
14 812 908 58646631 64601644 -0.111628560366075
14 908 999 64600243 70459905 0.10784921944411
14 1086 1214 74614693 83915377 0.115907033829359
15 184 261 30282533 34437466 -0.269015273911563
15 429 509 42348103 45165576 0.219259906699239
16 783 881 29973868 31217135 0.102444991274509
16 977 1091 33059936 46844618 -0.122930774752699
16 1507 1604 69299682 73014476 0.179027760476476
17 591 705 18859354 21260501 -0.181674294234477
17 1224 1341 42038232 44561262 0.124103915646827
17 1341 1455 44557484 47981736 -0.116855187605504
17 2009 2129 75165586 78782297 0.130020326760801
17 2129 2290 78674048 83240804 0.174554008578368
18 417 461 31622247 35384025 -0.124162748276396
18 688 781 60010281 69471736 -0.116697926457827
19 123 294 2425625 6563848 0.131078750139156
19 420 543 9412461 12052967 0.137091534930452
19 543 689 12017888 15022990 0.0232647674377422
19 812 935 17455425 20250295 0.0416000669540805
19 935 1123 20249052 29617237 -0.118975526413544
19 1248 1419 35268962 38873763 -0.161784813709363
19 2001 2124 50976468 52962823 -0.106283862157482
2 300 532 25204313 41157555 0.0987992023945725
2 1444 1680 104395002 118994660 -0.111216817102536
2 2061 2221 154435853 170818037 -0.0756305204881833
2 2381 2548 181690380 200827338 -0.0677311520859751
20 78 167 3106913 10007116 0.11363846517029
20 167 224 9986088 16573448 -0.119438648566059
20 508 564 34844720 36894235 0.147812938401179
20 564 621 36876121 41197157 0.201199394308263
20 780 832 49219295 52511568 0.185667536329997
21 256 301 31840341 33519108 -0.119575223286899
21 412 441 39373763 41717975 -0.185267725257422
22 52 148 16827474 19854896 -0.10675988571054
22 389 441 23856703 25320080 -0.179944649940296
22 608 672 32121977 36173948 0.116690047138737
22 672 724 36172934 37666932 0.156864946223328
22 724 780 37658723 39020352 0.228562797941703
22 780 879 39014257 42432403 0.136350783465411
22 993 1045 49817248 50783663 0.144866928111046
3 613 807 48620759 57080101 0.214686031697117
4 527 629 44016700 54740715 -0.10542611242658
4 1956 2058 183639635 190082386 0.0596278352815512
5 250 365 18886622 33468091 -0.121741102753529
5 1474 1670 132541445 141012347 0.107478029668164
5 1670 1810 140827958 148308258 -0.195445350586418
5 1810 1925 148307298 157142869 0.117784695773954
6 188 302 12290361 25056664 0.104420228702658
6 634 794 31879759 36111236 0.146455789809638
6 908 1022 42499710 49078051 0.15209787385718
6 1145 1259 57961438 74652002 -0.10873738913152
7 1240 1388 91692008 100322196 0.118156387770864
7 1980 2147 142313184 149461062 -0.102422597619027
8 188 298 11175051 17644071 -0.144636701705416
8 298 392 17576433 23225102 0.124193434299901
8 1108 1202 79611117 86321146 -0.125090495423668
8 1805 1899 143290399 145066685 0.205787431358402
9 261 347 22646200 33514773 -0.207813858330072
9 433 519 35673918 39361962 0.0980598593906335
9 519 617 39355669 63744910 -0.25688776104441
9 617 741 63728877 76549771 -0.123245553136194
9 1030 1116 97512706 104570130 0.12020733305015
9 1303 1467 121280768 128810430 0.130464242667793
9 1467 1599 128787253 134844843 0.271655155141736
X 407 512 44741087 48691427 -0.12432400150763
X 960 1050 85003877 100675788 -0.20192534944087
X 1228 1318 111229889 119852998 -0.197714178802928
X 1714 1804 153479266 156027877 0.210609068279807
